지자체명,광역,유형,홈페이지,고시공고게시판,검색URL,사용여부,비고
서울_강북구,서울특별시,egov,https://www.gangbuk.go.kr,,https://www.gangbuk.go.kr/portal/bbs/B0000245/list.do?menuNo=200082&searchWrd=%EA%B5%90%EC%84%AD,Y,
서울_관악구,서울특별시,custom,https://www.gwanak.go.kr,,https://www.gwanak.go.kr/site/gwanak/ex/bbsNew/List.do?typeCode=1&searchCondition=TITLE&searchKeyword=%EA%B5%90%EC%84%AD,Y,
서울_서대문구,서울특별시,custom,https://www.sdm.go.kr,,https://www.sdm.go.kr/news/notice/notice.do?mode=list&srchTitle=%EA%B5%90%EC%84%AD,Y,
서울_성북,서울특별시,saeol,https://www.sb.go.kr,,https://www.sb.go.kr/www/selectEminwonList.do?key=6977&searchKrwd=%EA%B5%90%EC%84%AD,Y,key 파라미터 필요
서울_송파구,서울특별시,egov,https://www.songpa.go.kr,,https://www.songpa.go.kr/www/selectGosiList.do?key=2776&searchCnd=SJ&searchKrwd=교섭,Y,
서울_양천구,서울특별시,custom,https://www.yangcheon.go.kr,,https://www.yangcheon.go.kr/site/yangcheon/ex/bbs/List.do?cbIdx=254,Y,
서울_종로구,서울특별시,egov,https://www.jongno.go.kr,,https://www.jongno.go.kr/portal/bbs/selectBoardList.do?bbsId=BBSMSTR_000000000271&menuNo=1756,Y,
서울_중구,서울특별시,custom,https://www.junggu.seoul.kr,,https://www.junggu.seoul.kr/content/boards/62/list?search_column=title&search_keyword=교섭,Y,

부산_사상구,부산광역시,custom,https://www.sasang.go.kr,,https://www.sasang.go.kr/tour/board/list.sasang?boardId=BBS_0000001&menuIdx=75&searchWrd=%EA%B5%90%EC%84%AD,Y,

대구광역시,대구광역시,custom,https://www.daegu.go.kr,,https://www.daegu.go.kr/index.do?menu_id=00000052&srchVal=%EA%B5%90%EC%84%AD,Y,
대구_남구,대구광역시,custom,https://nam.daegu.kr,,https://nam.daegu.kr/index.do?menu_id=00000851,Y,
대구_중구,대구광역시,custom,https://www.jung.daegu.kr,,https://www.jung.daegu.kr/new/pages/administration/page.html?mc=0159,Y,

울산_남구,울산광역시,saeol,https://www.ulsannamgu.go.kr,,https://www.ulsannamgu.go.kr/cop/bbs/selectSaeolGosiList.do,Y,
울산_동구,울산광역시,custom,https://www.donggu.ulsan.kr,,https://www.donggu.ulsan.kr/donggu/contents/contents.do?mId=4040100,Y,
울산_북구,울산광역시,custom,https://www.bukgu.ulsan.kr,,https://www.bukgu.ulsan.kr/lay1/S1T86C456/contents.do,Y,
울산_울주군,울산광역시,saeol,https://www.ulju.ulsan.kr,,https://www.ulju.ulsan.kr/ulju/saeol/gosi/list.do?mId=0403010000,Y,
울산_중구,울산광역시,custom,https://www.junggu.ulsan.kr,,https://www.junggu.ulsan.kr/index.ulsan?menuCd=DOM_000000102004001000,Y,

경기_고양,경기도,custom,https://www.goyang.go.kr,,https://www.goyang.go.kr/www/link/BD_notice.do?se=01,Y,
경기_광주,경기도,saeol,https://www.gjcity.go.kr,,https://www.gjcity.go.kr/portal/saeol/gosi/list.do?mId=0202010000,Y,
경기_남양주,경기도,saeol,https://www.nyj.go.kr,,https://www.nyj.go.kr/www/selectEminwonWebList.do?key=2492,Y,
경기_평택,경기도,saeol,https://www.pyeongtaek.go.kr,,https://www.pyeongtaek.go.kr/pyeongtaek/saeol/gosi/list.do?mid=0401020100,Y,

경북_경주,경상북도,custom,https://www.gyeongju.go.kr,,https://www.gyeongju.go.kr/open_content/ko/page.do?mnu_uid=423,Y,
경북_경산,경상북도,custom,https://www.gbgs.go.kr,,https://www.gbgs.go.kr/open_content/ko/page.do?mnu_uid=2160,Y,
경북_김천,경상북도,saeol,https://www.gc.go.kr,,https://www.gc.go.kr/portal/saeol/gosi/list.do?mId=1202180100,Y,
경북_안동,경상북도,saeol,https://www.andong.go.kr,,https://www.andong.go.kr/portal/saeol/gosi/list.do?mId=0401010000,Y,
경북_구미,경상북도,saeol,https://www.gumi.go.kr,,https://www.gumi.go.kr/portal/saeol/gosi/list.do?mid=0401040000,Y,
경북_포항,경상북도,saeol,https://www.pohang.go.kr,,https://www.pohang.go.kr/portal/saeol/gosi/list.do?mid=0202010000,Y,

충남_공주,충청남도,saeol,https://www.gongju.go.kr,,https://www.gongju.go.kr/prog/saeolGosi/GOSI_01/sub04_03_01/list.do,Y,
충남_당진,충청남도,custom,https://www.dangjin.go.kr,,https://www.dangjin.go.kr/kor/sub03_02_01_01.do,Y,
충남_보령,충청남도,saeol,https://www.brcn.go.kr,,https://www.brcn.go.kr/prog/eminwon/kor/BB/sub04_03_01/list.do,Y,
충남_천안,충청남도,custom,https://www.cheonan.go.kr,,https://www.cheonan.go.kr/kor/sub02_02_01.do,Y,

충북_괴산,충청북도,egov,https://www.goesan.go.kr,,https://www.goesan.go.kr/www/selectBbsNttList.do?key=604,Y,
충북_단양,충청북도,custom,https://www.danyang.go.kr,,https://www.danyang.go.kr/dy21/976,Y,
충북_영동,충청북도,custom,https://www.yd21.go.kr,,https://www.yd21.go.kr/kr/html/sub02/020103.html?mode=L,Y,
충북_증평,충청북도,custom,http://www.jp.go.kr,,http://www.jp.go.kr/kor/sub03_01_03.do,Y,
충북_청주,충청북도,saeol,https://www.cheongju.go.kr,,https://www.cheongju.go.kr/www/selectEminwonNoticeList.do?key=281&searchKrwd=%EA%B5%90%EC%84%AD,Y,
충북_충주,충청북도,saeol,https://www.chungju.go.kr,,https://www.chungju.go.kr/www/selectEminwonList.do?key=510&ancmt_sj=%EA%B5%90%EC%84%AD,Y,
